participant_id,arrow_load,flanker_consistency,mean_rt_congruent_ms,mean_rt_incongruent_ms,mean_congruency_effect_ms,mean_error_count
1,high,consistent,450.2,553.4,103.2,2.4
1,high,inconsistent,690.6,739.9,49.3,2.4
1,low,consistent,632.8,686.8,54.0,3.8
1,low,inconsistent,504.0,556.3,52.3,2.8
2,high,consistent,448.8,515.1,66.3,2.6
2,high,inconsistent,527.2,559.4,32.2,2.8
2,low,consistent,588.4,701.6,113.2,4.2
2,low,inconsistent,499.8,536.6,36.8,2.8
3,high,consistent,463.8,563.1,99.3,3.2
3,high,inconsistent,456.8,510.3,53.5,1.4
3,low,consistent,524.0,630.2,106.2,3.0
3,low,inconsistent,463.2,495.4,32.2,2.0
4,high,consistent,484.4,585.8,101.4,2.0
4,high,inconsistent,462.8,508.2,45.4,2.4
4,low,consistent,504.2,586.2,82.0,3.4
4,low,inconsistent,453.8,500.7,46.9,1.6
5,high,consistent,471.6,536.9,65.3,1.6
5,high,inconsistent,455.8,485.2,29.4,1.0
5,low,consistent,485.6,530.0,44.4,
5,low,inconsistent,498.2,536.1,37.9,
6,high,consistent,462.2,522.5,60.3,1.8
6,high,inconsistent,461.4,483.5,22.1,1.4
6,low,consistent,511.2,543.4,32.2,
6,low,inconsistent,557.8,577.5,19.7,
7,high,consistent,480.4,559.4,79.0,3.6
7,high,inconsistent,430.4,462.3,31.9,1.0
7,low,consistent,538.6,608.8,70.2,3.5
7,low,inconsistent,512.4,526.7,14.3,2.2
8,high,consistent,464.0,566.7,102.7,1.4
8,high,inconsistent,451.0,480.5,29.5,1.4
8,low,consistent,475.4,568.0,92.6,3.2
8,low,inconsistent,473.2,506.4,33.2,1.6
9,high,consistent,431.0,489.5,58.5,0.8
9,high,inconsistent,447.8,480.3,32.5,0.8
9,low,consistent,393.4,448.4,55.0,0.8
9,low,inconsistent,399.8,439.9,40.1,0.6
10,high,consistent,384.6,474.8,90.2,0.6
10,high,inconsistent,465.8,499.7,33.9,0.4
10,low,consistent,451.6,495.6,44.0,0.6
10,low,inconsistent,428.4,447.8,19.4,0.8
11,high,consistent,419.6,524.4,104.8,1.0
11,high,inconsistent,441.4,464.8,23.4,0.8
11,low,consistent,454.8,505.4,50.6,0.6
11,low,inconsistent,382.8,418.3,35.5,0.2
12,high,consistent,415.4,474.4,59.0,0.4
12,high,inconsistent,457.4,494.5,37.1,0.4
12,low,consistent,469.6,517.4,47.8,0.8
12,low,inconsistent,402.4,435.8,33.4,0.4
