,,5 arrows,,,,,,,,,,7 arrows,,,,,,,,,
,,0,,,,,1,,,,,0,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,
,,compatible(ms),imcompatible,effects(ms),errors,Average,compatible(ms),imcompatible,effects(ms),errors,,compatible(ms),imcompatible,effects(ms),errors,,compatible(ms),imcompatible,effects(ms),errors,
Participant No. 1,,613,671,58,3,54,606,625.8,19.8,0,52.3,472,521.4,49.4,3,103.2,622,717.9,95.9,3,49.3
,,607,664,57,4,,518,533,15,2,,437,550.1,113.1,1,,705,730.9,25.9,5,
,,663,670,7,5,,507,567,60,2,,462,615.4,153.4,2,,650,687.8,37.8,2,
,,667,671,4,3,,427,520.6,93.6,5,,460,551,91,4,,699,746.6,47.6,1,
,,614,758,144,4,,462,535.1,73.1,5,,420,529.1,109.1,2,,777,816.3,39.3,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.2,,564,782,218,4,113.2,487,515.8,28.8,4,36.8,470,548,78,4,66.3,518,538.3,20.3,5,32.2
,,735,749,14,5,,541,547.6,6.6,3,,406,508.7,102.7,4,,465,552.5,87.5,3,
,,579,728,149,6,,441,561.5,120.5,5,,423,482.8,59.8,2,,624,617.7,-6.3,1,
,,555,692,137,3,,528,544.8,16.8,1,,419,454.1,35.1,1,,577,594.5,17.5,3,
,,509,557,48,3,,502,513.3,11.3,1,,526,581.9,55.9,2,,452,494,42,2,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.3,,539,667,128,3,106.2,528,559.8,31.8,3,32.2,450,651.5,201.5,5,99.3,425,519.5,94.5,0,53.5
,,543,631,88,2,,457,481.6,24.6,2,,477,492.6,15.6,3,,452,500.3,48.3,2,
,,459,599,140,2,,448,452.8,4.8,2,,420,573.4,153.4,2,,447,514.9,67.9,2,
,,556,615,59,4,,417,512.5,95.5,2,,501,537.4,36.4,3,,485,492.7,7.7,2,
,,523,639,116,4,,466,470.3,4.3,1,,471,560.6,89.6,3,,475,524.1,49.1,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.4,,545,683,138,4,82,443,510.8,67.8,2,46.9,441,603.5,162.5,3,101.4,473,520.6,47.6,1,45.4
,,458,554,96,4,,450,481.2,31.2,0,,473,584.8,111.8,1,,456,511.3,55.3,2,
,,513,567,54,3,,430,484.6,54.6,3,,511,535.7,24.7,2,,484,495.9,11.9,1,
,,491,553,62,2,,453,508.2,55.2,2,,498,611.1,113.1,2,,450,513.8,63.8,4,
,,514,574,60,4,,493,518.7,25.7,1,,499,593.9,94.9,2,,451,499.4,48.4,4,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.5,,531,552,21,,44.4,460,534.4,74.4,,37.9,564,573.1,9.1,2,65.3,436,500.4,64.4,0,29.4
,,521,467,-54,,,490,507.4,17.4,,,457,529.8,72.8,1,,499,514.4,15.4,3,
,,505,645,140,,,526,536.2,10.2,,,490,551.1,61.1,1,,461,482,21,0,
,,453,441,-12,,,574,639.4,65.4,,,409,539.1,130.1,2,,429,461.2,32.2,1,
,,418,545,127,,,441,463.1,22.1,,,438,491.4,53.4,2,,454,468,14,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.6,,504,554,50,,32.2,624,624.6,0.6,,19.7,473,504.2,31.2,1,60.3,499,502.5,3.5,0,22.1
,,484,506,22,,,592,622,30,,,460,487.3,27.3,1,,411,453,42,0,
,,554,593,39,,,551,558.8,7.8,,,464,545.9,81.9,2,,477,488.9,11.9,2,
,,512,546,34,,,467,512,45,,,447,556.2,109.2,2,,452,477.9,25.9,2,
,,502,518,16,,,555,570.1,15.1,,,467,518.9,51.9,3,,468,495.2,27.2,3,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.7,,529,665,136,,70.2,590,576.8,-13.2,2,14.3,558,669.7,111.7,2,79,465,474.1,9.1,0,31.9
,,537,649,112,,,504,518.4,14.4,1,,431,572.6,141.6,3,,423,466.4,43.4,0,
,,581,550,-31,,,481,514.6,33.6,1,,450,535.8,85.8,6,,411,456.5,45.5,1,
,,511,590,79,5,,463,485.2,22.2,1,,486,497.7,11.7,4,,418,451.6,33.6,2,
,,535,590,55,2,,524,538.5,14.5,6,,477,521.2,44.2,3,,435,462.9,27.9,2,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.8,,426,543,117,2,92.6,432,502.7,70.7,1,33.2,469,497.6,28.6,2,102.7,447,457.5,10.5,3,29.5
,,449,584,135,6,,549,520.2,-28.8,2,,439,602.8,163.8,2,,451,477.6,26.6,0,
,,562,590,28,2,,474,498.6,24.6,1,,467,552.8,85.8,2,,474,507.6,33.6,2,
,,473,584,111,2,,472,500.8,28.8,2,,443,584.7,141.7,1,,431,486.9,55.9,1,
,,467,539,72,4,,439,509.7,70.7,2,,502,595.6,93.6,0,,452,472.9,20.9,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.9,,445,563,118,1,55,435,491.4,56.4,1,40.1,436,462,26,1,58.5,382,399,17,0,32.5
,,377,432,55,2,,374,405.2,31.2,1,,382,486,104,1,,460,465.4,5.4,1,
,,379,420,41,0,,414,432.6,18.6,0,,458,473.6,15.6,1,,481,494.4,13.4,1,
,,387,378,-9,0,,355,400,45,1,,468,477.1,9.1,1,,496,544.2,48.2,1,
,,379,449,70,1,,421,470.3,49.3,0,,411,548.8,137.8,0,,420,498.5,78.5,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.10,,433,474,41,0,44,446,451.4,5.4,0,19.4,387,511.8,124.8,0,90.2,525,571.2,46.2,1,33.9
,,375,454,79,0,,479,474.8,-4.2,1,,395,408,13,0,,438,472.3,34.3,0,
,,420,459,39,2,,348,405.5,57.5,1,,379,468.7,89.7,2,,466,493.3,27.3,1,
,,531,514,-17,0,,474,481.8,7.8,1,,382,538,156,1,,437,476.9,39.9,0,
,,499,577,78,1,,395,425.5,30.5,1,,380,447.5,67.5,0,,463,484.8,21.8,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.11,,495,535,40,2,50.6,397,403.6,6.6,0,35.5,461,528.6,67.6,1,104.8,467,467.7,0.7,0,23.4
,,486,564,78,0,,369,397.8,28.8,0,,386,597.9,211.9,1,,462,485.1,23.1,1,
,,436,495,59,0,,351,402.6,51.6,1,,482,548.3,66.3,1,,358,439.3,81.3,1,
,,434,461,27,1,,419,456.2,37.2,0,,363,446.2,83.2,1,,446,450.2,4.2,1,
,,423,472,49,0,,378,431.3,53.3,0,,406,501,95,1,,474,481.7,7.7,1,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No.12,,493,500,7,0,47.8,403,434.8,31.8,0,33.4,418,436.2,18.2,0,59,494,531.8,37.8,0,37.1
,,455,491,36,1,,432,468,36,1,,439,468.9,29.9,0,,433,446.3,13.3,0,
,,539,564,25,3,,385,407.2,22.2,1,,452,558.6,106.6,0,,464,521.4,57.4,1,
,,435,483,48,0,,388,418,30,0,,383,449.3,66.3,1,,446,464.2,18.2,1,
,,426,549,123,0,,404,451,47,0,,385,459,74,1,,450,508.8,58.8,0,
